State,Gender,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,Areas,Sales Channel,Vehicle Size
Arizona,F,Bachelor,"œ3,239.12",16061,88,1/0,Personal Auto,Four-Door Car,633.60,central ,Agent,Medsize
California,F,Master,"œ4,626.80",79487,114,1/0,Special Auto,SUV,547.20,west ,Agent,Medsize
California,F,College,"œ8,997.04",54230,112,1/0,Personal Auto,Two-Door Car,537.60,west ,Agent,Medsize
Oregon,F,College,"œ25,807.06",71210,214,1/1,Personal Auto,Luxury Car,1027.20,north,Call Center,Medsize
Arizona,F,College,"œ3,808.12",94903,94,1/0,Corporate Auto,Two-Door Car,451.20,central ,Agent,Medsize
Arizona,M,Bachelor,"œ7,614.14",27293,96,1/0,Personal Auto,Two-Door Car,469.03,central ,Web,Medsize
California,F,Master,"œ6,898.46",70950,171,1/0,Personal Auto,Sports Car,565.93,west ,Agent,Medsize
Oregon,M,College,"œ2,298.38",0,63,1/0,Corporate Auto,Four-Door Car,302.40,north,Agent,Medsize
Oregon,F,Doctor,"œ2,806.70",37009,71,1/0,Corporate Auto,Two-Door Car,145.67,north,Agent,Medsize
Nevada,M,College,"œ5,206.12",52629,65,1/0,Personal Auto,Four-Door Car,136.68,central ,Branch,Medsize
California,F,Bachelor,"œ45,708.65",31264,198,1/1,Personal Auto,Luxury SUV,825.66,west ,Agent,Small
Oregon,F,College,"œ8,007.35",65473,67,1/0,Personal Auto,Four-Door Car,277.69,north,Agent,Medsize
Washington,F,Bachelors,"œ5,482.55",79325,68,1/0,Corporate Auto,Four-Door Car,251.29,east,Agent,Medsize
Oregon,M,High School or Below,"œ2,463.24",99144,61,1/0,Corporate Auto,Four-Door Car,292.80,north,Branch,Medsize
California,M,College,"œ5,498.94",22520,73,1/0,Corporate Auto,Four-Door Car,350.40,west ,Call Center,Medsize
Arizona,F,Bachelor,"œ5,243.83",36615,65,1/0,Special Auto,Four-Door Car,264.56,central ,Branch,Medsize
Washington,F,Bachelors,"œ3,280.46",63297,82,1/0,Personal Auto,Four-Door Car,251.76,east,Call Center,Medsize
Arizona,F,High School or Below,"œ4,886.54",76374,61,1/0,Personal Auto,Four-Door Car,292.80,central ,Call Center,Medsize
Washington,F,Bachelors,"œ5,123.49",72096,6464,1/0,Personal Auto,Two-Door Car,252.33,east,Branch,Medsize
Nevada,M,Master,"œ5,479.56",56005,68,1/1,Personal Auto,Four-Door Car,326.40,central ,Call Center,Small
Washington,F,Master,"œ4,762.16",36529,118,1/0,Personal Auto,SUV,255.01,east,Branch,Medsize
Oregon,F,Bachelor,"œ8,287.68",81367,103,1/0,Special Auto,SUV,415.77,north,Call Center,Medsize
California,F,Bachelor,"œ9,886.66",44817,83,1/0,Personal Auto,Four-Door Car,527.42,west ,Agent,Medsize
Oregon,F,High School or Below,"œ2,712.92",58508,69,1/0,Personal Auto,Two-Door Car,57.61,north,Branch,Medsize
Oregon,M,Bachelor,"œ10,477.68",45259,138,1/0,Personal Auto,SUV,272.22,north,Branch,Medsize
California,M,Doctor,"œ3,436.13",30817,88,1/0,Personal Auto,Four-Door Car,91.83,west ,Call Center,Large
Oregon,F,High School or Below,"œ2,596.19",0,72,1/0,Personal Auto,Two-Door Car,345.60,north,Agent,Small
California,M,Doctor,"œ12,731.95",40870,105,1/0,Personal Auto,SUV,504.00,west ,Branch,Medsize
Nevada,M,High School or Below,"œ3,494.15",35001,96,3/1,Personal Auto,Four-Door Car,460.80,central ,Call Center,Large
Arizona,F,College,"œ7,597.91",49937,64,1/0,Personal Auto,Two-Door Car,302.59,central ,Branch,Small
Oregon,F,Bachelor,"œ4,015.21",0,109,1/0,Personal Auto,Four-Door Car,523.20,north,Call Center,Small
California,F,College,"œ20,477.11",58317,73,1/0,Personal Auto,Four-Door Car,350.40,west ,Agent,Medsize
California,F,High School or Below,"œ8,160.69",0,109,1/0,Personal Auto,SUV,523.20,west ,Call Center,Medsize
Nevada,M,High School or Below,"œ12,298.69",17101,113,1/0,Corporate Auto,SUV,542.40,central ,Agent,Small
California,F,College,"œ8,714.92",0,118,1/0,Corporate Auto,SUV,566.40,west ,Web,Medsize
Arizona,F,Bachelor,"œ4,853.53",0,65,1/0,Personal Auto,Four-Door Car,468.00,central ,Branch,Medsize
Oregon,M,High School or Below,"œ4,880.95",24398,63,1/1,Personal Auto,Four-Door Car,302.40,north,Agent,Small
Oregon,M,College,"œ2,311.38",24641,61,1/0,Corporate Auto,Four-Door Car,294.93,north,Web,Small
Arizona,M,High School or Below,"œ4,327.10",69040,108,1/0,Corporate Auto,Sports Car,518.40,central ,Agent,Small
Oregon,M,High School or Below,"œ12,298.69",17101,113,1/0,Personal Auto,SUV,542.40,north,Call Center,Medsize
California,F,High School or Below,"œ8,323.53",59886,104,1/0,Personal Auto,Sports Car,71.73,west ,Call Center,Medsize
Oregon,F,Bachelor,"œ10,179.72",14290,271,1/0,Personal Auto,Luxury SUV,1300.80,north,Agent,Medsize
California,F,College,"œ7,761.27",43137,96,1/0,Personal Auto,Two-Door Car,460.80,west ,Agent,Small
Oregon,M,College,"œ5,239.89",27978,69,1/1,Personal Auto,Four-Door Car,447.91,north,Agent,Medsize
California,F,Bachelor,"œ4,517.91",25261,118,1/0,Personal Auto,SUV,566.40,west ,Call Center,Large
Nevada,M,College,"œ2,389.77",58652,64,5/1,Personal Auto,Four-Door Car,307.20,central ,Branch,Medsize
Nevada,F,College,"œ4,130.63",28321,111,1/0,Corporate Auto,SUV,537.39,central ,Call Center,Medsize
Washington,F,College,"œ2,691.57",77411,67,1/0,Personal Auto,Four-Door Car,257.90,east,Agent,Medsize
Oregon,M,College,"œ5,227.77",0,72,1/0,Corporate Auto,Four-Door Car,518.40,north,Call Center,Medsize
California,F,Bachelor,"œ6,187.35",0,88,1/0,Personal Auto,Four-Door Car,633.60,west ,Branch,Medsize
Arizona,M,College,"œ5,113.87",94415,127,1/1,Personal Auto,Sports Car,492.77,central ,Agent,Small
Oregon,M,High School or Below,"œ11,039.32",0,103,1/0,Special Auto,SUV,1149.20,north,Web,Medsize
Arizona,F,Bachelor,"œ32,227.08",45331,100,1/0,Personal Auto,SUV,572.64,central ,Branch,Medsize
Arizona,M,High School or Below,"œ2,611.97",53904,67,2/1,Personal Auto,Four-Door Car,321.60,central ,Agent,Medsize
California,M,High School or Below,"œ13,372.33",0,74,1/0,Personal Auto,Four-Door Car,811.09,west ,Branch,Small
Arizona,M,Bachelor,"œ4,838.98",0,70,2/1,Special Auto,Four-Door Car,336.00,central ,Call Center,Small
Oregon,M,High School or Below,"œ4,721.66",0,67,1/0,Personal Auto,Four-Door Car,482.40,north,Branch,Medsize
Oregon,M,College,"œ3,873.65",28142,105,1/0,Corporate Auto,Sports Car,701.71,north,Call Center,Small
Washington,M,Master,"œ4,718.56",15680,6464,1/0,Personal Auto,Four-Door Car,260.88,east,Call Center,Medsize
Oregon,M,Bachelor,"œ16,979.80",35095,73,1/0,Personal Auto,Two-Door Car,525.60,north,Agent,Medsize
Oregon,F,College,"œ13,681.71",55588,114,1/0,Personal Auto,SUV,547.20,north,Agent,Medsize
Arizona,F,Master,"œ5,717.22",52391,71,1/0,Personal Auto,Two-Door Car,409.76,central ,Call Center,Small
Oregon,F,Bachelor,"œ9,486.60",42240,79,1/0,Personal Auto,Four-Door Car,46.39,north,Agent,Small
Oregon,F,Bachelor,"œ3,839.14",70146,96,1/0,Personal Auto,Four-Door Car,157.44,north,Agent,Medsize
Oregon,F,College,"œ11,211.59",41121,94,1/0,Personal Auto,Four-Door Car,451.20,north,Branch,Large
Oregon,F,College,"œ25,807.06",71210,214,1/1,Corporate Auto,Luxury Car,1027.20,north,Web,Medsize
Oregon,M,Bachelor,"œ3,798.32",0,107,1/1,Corporate Auto,Two-Door Car,1261.94,north,Agent,Medsize
